BehaviorSpace results (NetLogo 5.2.1),,,,,,,,,,,,,,,,,,,,,,,
INDISIM3.nlogo,,,,,,,,,,,,,,,,,,,,,,,
25_simulations,,,,,,,,,,,,,,,,,,,,,,,
08/15/2016 08:44:37:480 -0400,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,
0,30,0,30,,,,,,,,,,,,,,,,,,,,
[run number],inhibitory_k,mass_reproduction,initial_local_nutrient,viability_time,yield,length_time_feed,yield-2,availability_k,uptake_k,Bioreactor,out_reservoir_nutrient,initial_bacteria_2,maintenance_k,in_out_percent,fed_nutrient,initial_bacteria_1,[step],count turtles,count turtles with [color = pink],count turtles with [color = sky],total_biomass,total_nutrient,total_end_product
4,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,4,0,5,4,1,83.15837169,480500,0
8,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,2,0.25,0.04,300,3,0,5,3,2,122.8930261,480500,0
2,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,2,0,3,2,1,70.09929163,480500,0
5,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,5,0,6,5,1,207.3422656,480500,0
3,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,3,0,4,3,1,101.5626521,480500,0
7,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,2,0.25,0.04,300,2,0,4,2,2,65.53320773,480500,0
6,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,2,0.25,0.04,300,1,0,3,1,2,81.48452439,480500,0
8,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,2,0.25,0.04,300,3,1,6,4,2,130.3844432,480486.0624,13.93762108
1,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,1,0,2,1,1,30.48745495,480500,0
2,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,2,1,4,2,2,72.13950442,480494.8924,5.107613655
4,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,4,1,5,4,1,95.50055794,480486.9331,13.06692959
5,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,5,1,7,6,1,212.0022849,480474.0483,25.95174306
7,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,2,0.25,0.04,300,2,1,4,2,2,68.13144318,480494.7688,5.231214964
6,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,2,0.25,0.04,300,1,1,5,1,4,83.31439553,480497.3338,2.666236883
8,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,2,0.25,0.04,300,3,2,6,4,2,145.2353567,480467.8864,32.11355742
2,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,2,2,4,2,2,78.73105686,480488.1624,11.83759848
1,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,1,1,2,1,1,34.79632196,480496.6881,3.311856918
5,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,5,2,7,6,1,220.6319912,480446.4513,53.54867459
4,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,4,2,5,4,1,105.3563123,480472.9194,27.08063447
6,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,2,0.25,0.04,300,1,2,5,1,4,85.10475953,480494.4913,5.508702792
7,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,2,0.25,0.04,300,2,2,4,2,2,74.89081726,480487.8267,12.17331773
2,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,2,3,4,2,2,82.36163919,480481.3716,18.62835059
8,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,2,0.25,0.04,300,3,3,6,4,2,155.3538554,480449.0664,50.93361732
1,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,1,2,2,1,1,36.12136295,480493.6988,6.301233634
7,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,2,0.25,0.04,300,2,3,4,2,2,82.55077079,480479.7254,20.27459377
2,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,2,4,4,2,2,87.80434218,480473.5499,26.45011229
4,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,4,3,5,4,1,107.1538522,480460.9827,39.01733291
3,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,3,1,5,4,1,109.5594495,480485.4175,14.58254512
6,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,2,0.25,0.04,300,1,3,5,1,4,87.46775456,480491.2234,8.776568342
8,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,2,0.25,0.04,300,3,4,6,4,2,168.2549153,480428.2017,71.79832946
5,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,5,3,7,6,1,223.1256433,480419.9099,80.0900645
